player_name,avg_fastball_velo,total_pitches,fastball_count,fastball_pct,archetype,hits,strikeouts,outs,total_events,hit_rate,k_rate,out_minus_hit,run_prevention,out_rate,damage_rate
"Abbott, Andrew",93.06315789473685,45,19.0,0.4222222222222222,Offspeed Heavy,10,8,22,45,0.2222222222222222,0.17777777777777778,12,0.26666666666666666,0.4888888888888889,0.2222222222222222
"Abreu, Bryan",98.2,3,1.0,0.3333333333333333,Offspeed Heavy,1,1,0,3,0.3333333333333333,0.3333333333333333,-1,-0.3333333333333333,0.0,0.3333333333333333
"Adam, Jason",90.85,8,2.0,0.25,Offspeed Heavy,1,3,4,8,0.125,0.375,3,0.375,0.5,0.125
"Akin, Keegan",92.97777777777779,12,9.0,0.75,Balanced,2,3,7,12,0.16666666666666666,0.25,5,0.4166666666666667,0.5833333333333334,0.16666666666666666
"Alcala, Jorge",96.1,16,5.0,0.3125,Offspeed Heavy,2,4,7,16,0.125,0.25,5,0.3125,0.4375,0.125
"Alexander, Tyler",86.96923076923076,23,13.0,0.5652173913043478,Balanced,8,4,9,23,0.34782608695652173,0.17391304347826086,1,0.043478260869565216,0.391304347826087,0.34782608695652173
"Allen, Logan",90.09166666666665,26,12.0,0.46153846153846156,Balanced,4,6,13,26,0.15384615384615385,0.23076923076923078,9,0.34615384615384615,0.5,0.15384615384615385
"Almonte, Yency",93.21333333333334,17,15.0,0.8823529411764706,Balanced,3,5,5,17,0.17647058823529413,0.29411764705882354,2,0.11764705882352941,0.29411764705882354,0.17647058823529413
"Alvarado, José",96.69166666666666,12,12.0,1.0,Power Fastball,0,4,5,12,0.0,0.3333333333333333,5,0.4166666666666667,0.4166666666666667,0.0
"Alzolay, Adbert",93.65,9,4.0,0.4444444444444444,Offspeed Heavy,3,2,4,9,0.3333333333333333,0.2222222222222222,1,0.1111111111111111,0.4444444444444444,0.3333333333333333
"Anderson, Chase",91.24,24,15.0,0.625,Balanced,5,4,14,24,0.20833333333333334,0.16666666666666666,9,0.375,0.5833333333333334,0.20833333333333334
"Anderson, Grant",92.5,1,1.0,1.0,Balanced,0,1,0,1,0.0,1.0,0,0.0,0.0,0.0
"Anderson, Nick",93.63333333333333,7,6.0,0.8571428571428571,Balanced,3,1,2,7,0.42857142857142855,0.14285714285714285,-1,-0.14285714285714285,0.2857142857142857,0.42857142857142855
"Anderson, Tyler",87.56,26,15.0,0.5769230769230769,Balanced,4,5,15,26,0.15384615384615385,0.19230769230769232,11,0.4230769230769231,0.5769230769230769,0.15384615384615385
"Andriese, Matt",90.025,5,4.0,0.8,Balanced,2,2,1,5,0.4,0.4,-1,-0.2,0.2,0.4
"Antone, Tejay",93.0,8,4.0,0.5,Balanced,1,2,3,8,0.125,0.25,2,0.25,0.375,0.125
"Armstrong, Shawn",91.7,14,14.0,1.0,Balanced,2,2,9,14,0.14285714285714285,0.14285714285714285,7,0.5,0.6428571428571429,0.14285714285714285
